identifier	name	definition	synonyms	alts	parents	species
CC-BY-NC-SA-3.0-DE	Creative Commons Attribution Non Commercial Share Alike 3.0 Germany				spdx.term:ListedLicense	
CC-BY-NC-SA-3.0-IGO	Creative Commons Attribution Non Commercial Share Alike 3.0 IGO				spdx.term:ListedLicense	
CC-BY-NC-SA-4.0	Creative Commons Attribution Non Commercial Share Alike 4.0 International				spdx.term:ListedLicense	
CC-BY-ND-1.0	Creative Commons Attribution No Derivatives 1.0 Generic				spdx.term:ListedLicense	
CC-BY-ND-2.0	Creative Commons Attribution No Derivatives 2.0 Generic				spdx.term:ListedLicense	
CC-BY-ND-2.5	Creative Commons Attribution No Derivatives 2.5 Generic				spdx.term:ListedLicense	
CC-BY-ND-3.0	Creative Commons Attribution No Derivatives 3.0 Unported				spdx.term:ListedLicense	
CC-BY-ND-3.0-DE	Creative Commons Attribution No Derivatives 3.0 Germany				spdx.term:ListedLicense	
CC-BY-ND-4.0	Creative Commons Attribution No Derivatives 4.0 International				spdx.term:ListedLicense	
CC-BY-SA-1.0	Creative Commons Attribution Share Alike 1.0 Generic				spdx.term:ListedLicense	
CC-BY-SA-2.0	Creative Commons Attribution Share Alike 2.0 Generic				spdx.term:ListedLicense	
CC-BY-SA-2.0-UK	Creative Commons Attribution Share Alike 2.0 England and Wales				spdx.term:ListedLicense	
CC-BY-SA-2.1-JP	Creative Commons Attribution Share Alike 2.1 Japan				spdx.term:ListedLicense	
CC-BY-SA-2.5	Creative Commons Attribution Share Alike 2.5 Generic				spdx.term:ListedLicense	
CC-BY-SA-3.0	Creative Commons Attribution Share Alike 3.0 Unported				spdx.term:ListedLicense	
CC-BY-SA-3.0-AT	Creative Commons Attribution Share Alike 3.0 Austria				spdx.term:ListedLicense	
CC-BY-SA-3.0-DE	Creative Commons Attribution Share Alike 3.0 Germany				spdx.term:ListedLicense	
CC-BY-SA-3.0-IGO	Creative Commons Attribution-ShareAlike 3.0 IGO				spdx.term:ListedLicense	
CC-BY-SA-4.0	Creative Commons Attribution Share Alike 4.0 International				spdx.term:ListedLicense	
CC-PDDC	Creative Commons Public Domain Dedication and Certification				spdx.term:ListedLicense	
CC-PDM-1.0	Creative    Commons Public Domain Mark 1.0 Universal				spdx.term:ListedLicense	
CC-SA-1.0	Creative Commons Share Alike 1.0 Generic				spdx.term:ListedLicense	
CC0-1.0	Creative Commons Zero v1.0 Universal				spdx.term:ListedLicense	
CDDL-1.0	Common Development and Distribution License 1.0				spdx.term:ListedLicense	
CDDL-1.1	Common Development and Distribution License 1.1				spdx.term:ListedLicense	
CDL-1.0	Common Documentation License 1.0				spdx.term:ListedLicense	
CDLA-Permissive-1.0	Community Data License Agreement Permissive 1.0				spdx.term:ListedLicense	
CDLA-Permissive-2.0	Community Data License Agreement Permissive 2.0				spdx.term:ListedLicense	
CDLA-Sharing-1.0	Community Data License Agreement Sharing 1.0				spdx.term:ListedLicense	
CECILL-1.0	CeCILL Free Software License Agreement v1.0				spdx.term:ListedLicense	
CECILL-1.1	CeCILL Free Software License Agreement v1.1				spdx.term:ListedLicense	
