identifier	name	definition	synonyms	alts	parents	species
39077	FLVCR1-DT	FLVCR1 divergent transcript	FLVCR1 antisense RNA 1|FLVCR1 antisense RNA 1 (head to head)|FLVCR1 antisense RNA 1 (non-protein coding)|FLVCR1-AS1|LQK1|NCRNA00292|non-protein coding RNA 292		so:0002127	ncbitaxon:9606
39078	LINC00293	long intergenic non-protein coding RNA 293	BEYLA|NCRNA00293|non-protein coding RNA 293		so:0002127	ncbitaxon:9606
39079	ESRG	embryonic stem cell related	HESRG|embryonic stem cell related (non-protein coding)|human embryonic stem cell related gene		so:0002127	ncbitaxon:9606
3908	FRA5D	fragile site, aphidicolin type, common, fra(5)(q15)			so:0002349	ncbitaxon:9606
39080	KCNJ18	potassium inwardly rectifying channel subfamily J member 18	KIR2.6|TTPP2|potassium inwardly-rectifying channel, subfamily J, member 18		so:0001217	ncbitaxon:9606
39081	FMR1-AS1	FMR1 antisense RNA 1	ASFMR1|FMR1 antisense RNA (non-protein coding)|FMR1 antisense RNA 1 (head to head)|FMR1 antisense RNA 1 (non-protein coding)|FMR1-AS|FMR1AS|FMR4|FMR5|antisense fragile X mental retardation protein|antisense fragile X messenger ribonucleoprotein 1		so:0002127	ncbitaxon:9606
39083	COX5BP8	cytochrome c oxidase subunit 5B pseudogene 8	cytochrome c oxidase subunit Vb pseudogene 8		so:0000336	ncbitaxon:9606
39084	CTSLP8	cathepsin L pseudogene 8	CTSL1P8|cathepsin L1 pseudogene 8		so:0000336	ncbitaxon:9606
39085	FDPSP8	farnesyl diphosphate synthase pseudogene 8			so:0000336	ncbitaxon:9606
39086	FDPSP9	farnesyl diphosphate synthase pseudogene 9			so:0000336	ncbitaxon:9606
39087	FDPSP10	farnesyl diphosphate synthase pseudogene 10			so:0000336	ncbitaxon:9606
39088	FTH1P6	ferritin heavy chain 1 pseudogene 6	ferritin, heavy polypeptide 1 pseudogene 6		so:0000336	ncbitaxon:9606
39089	FTH1P9	ferritin heavy chain 1 pseudogene 9	ferritin, heavy polypeptide 1 pseudogene 9		so:0000336	ncbitaxon:9606
3909	FRA5E	fragile site, aphidicolin type, common, fra(5)(p14)			so:0002349	ncbitaxon:9606
39090	FTH1P14	ferritin heavy chain 1 pseudogene 14	ferritin, heavy polypeptide 1 pseudogene 14		so:0000336	ncbitaxon:9606
39091	FTH1P27	ferritin heavy chain 1 pseudogene 27	ferritin, heavy polypeptide 1 pseudogene 27		so:0000336	ncbitaxon:9606
39092	GTF2F2P2	general transcription factor IIF subunit 2 pseudogene 2	general transcription factor IIF, polypeptide 2 pseudogene 2		so:0000336	ncbitaxon:9606
39093	HMGA1P4	high mobility group AT-hook 1 pseudogene 4			so:0000336	ncbitaxon:9606
39096	HMGB1P7	high mobility group box 1 pseudogene 7	high-mobility group box 1 pseudogene 7		so:0000336	ncbitaxon:9606
39097	HMGB1P15	high mobility group box 1 pseudogene 15	high-mobility group box 1 pseudogene 15		so:0000336	ncbitaxon:9606
39098	HMGB1P16	high mobility group box 1 pseudogene 16	high-mobility group box 1 pseudogene 16		so:0000336	ncbitaxon:9606
39099	HMGB1P17	high mobility group box 1 pseudogene 17	high-mobility group box 1 pseudogene 17		so:0000336	ncbitaxon:9606
391	AKT1	AKT serine/threonine kinase 1	AKT|PKB|PRKBA|RAC|RAC-alpha|protein kinase B|v-akt murine thymoma viral oncogene homolog 1		so:0001217	ncbitaxon:9606
3910	FRA5F	fragile site, aphidicolin type, common, fra(5)(q21)			so:0002349	ncbitaxon:9606
39100	HMGB1P18	high mobility group box 1 pseudogene 18	high-mobility group box 1 pseudogene 18		so:0000336	ncbitaxon:9606
39101	HMGB1P19	high mobility group box 1 pseudogene 19	high-mobility group box 1 pseudogene 19		so:0000336	ncbitaxon:9606
39102	HMGB3P3	high mobility group box 3 pseudogene 3	high-mobility group box 3 pseudogene 3		so:0000336	ncbitaxon:9606
39103	HMGB1P20	high mobility group box 1 pseudogene 20	high-mobility group box 1 pseudogene 20		so:0000336	ncbitaxon:9606
39104	HMGB3P4	high mobility group box 3 pseudogene 4	high-mobility group box 3 pseudogene 4		so:0000336	ncbitaxon:9606
39105	HMGB3P5	high mobility group box 3 pseudogene 5	high-mobility group box 3 pseudogene 5		so:0000336	ncbitaxon:9606
39106	HMGB1P21	high mobility group box 1 pseudogene 21	high-mobility group box 1 pseudogene 21		so:0000336	ncbitaxon:9606
39107	HMGB1P22	high mobility group box 1 pseudogene 22	high-mobility group box 1 pseudogene 22		so:0000336	ncbitaxon:9606
39108	ERVK3-3	endogenous retrovirus group K3 member 3	HML6-c5|endogenous retrovirus group K3, member 3		so:0000100	ncbitaxon:9606
39109	ERVK3-4	endogenous retrovirus group K3 member 4	HML6-c11|endogenous retrovirus group K3, member 4		so:0000100	ncbitaxon:9606
3911	FRA5G	fragile site, folic acid type, rare, fra(5)(q35)			so:0002349	ncbitaxon:9606
39110	ERVK3-5	endogenous retrovirus group K3 member 5	HML6-c12|endogenous retrovirus group K3, member 5		so:0000100	ncbitaxon:9606
39111	ERVK3-6	endogenous retrovirus group K3 member 6	HML6-c19A|endogenous retrovirus group K3, member 6		so:0000100	ncbitaxon:9606
39112	ERVK3-7	endogenous retrovirus group K3 member 7	HML6-c19B|endogenous retrovirus group K3, member 7		so:0000100	ncbitaxon:9606
39113	ERVK3-8	endogenous retrovirus group K3 member 8	endogenous retrovirus group K3, member 8		so:0000100	ncbitaxon:9606
39114	HMGB1P23	high mobility group box 1 pseudogene 23	high-mobility group box 1 pseudogene 23		so:0000336	ncbitaxon:9606
39115	HMGB1P24	high mobility group box 1 pseudogene 24	high-mobility group box 1 pseudogene 24		so:0000336	ncbitaxon:9606
39116	HMGB1P25	high mobility group box 1 pseudogene 25	high-mobility group box 1 pseudogene 25		so:0000336	ncbitaxon:9606
39117	HMGB1P26	high mobility group box 1 pseudogene 26	high-mobility group box 1 pseudogene 26		so:0000336	ncbitaxon:9606
39118	HMGB1P27	high mobility group box 1 pseudogene 27	high-mobility group box 1 pseudogene 27		so:0000336	ncbitaxon:9606
39119	HMGB1P28	high mobility group box 1 pseudogene 28	high-mobility group box 1 pseudogene 28		so:0000336	ncbitaxon:9606
3912	FRA6A	fragile site, folic acid type, rare, fra(6)(p23)			so:0002349	ncbitaxon:9606
39120	HMGB1P29	high mobility group box 1 pseudogene 29	high-mobility group box 1 pseudogene 29		so:0000336	ncbitaxon:9606
39121	HMGB1P30	high mobility group box 1 pseudogene 30	high-mobility group box 1 pseudogene 30		so:0000336	ncbitaxon:9606
39122	HMGB1P31	high mobility group box 1 pseudogene 31	high-mobility group box 1 pseudogene 31		so:0000336	ncbitaxon:9606
39123	HMGB1P32	high mobility group box 1 pseudogene 32	high-mobility group box 1 pseudogene 32		so:0000336	ncbitaxon:9606
39124	HMGB1P33	high mobility group box 1 pseudogene 33	high-mobility group box 1 pseudogene 33		so:0000336	ncbitaxon:9606
39125	PRSS58	serine protease 58	TRYX3|protease, serine 58|trypsin X3		so:0001217	ncbitaxon:9606
39126	HNRNPA1P8	heterogeneous nuclear ribonucleoprotein A1 pseudogene 8			so:0000336	ncbitaxon:9606
39127	HNRNPA1P9	heterogeneous nuclear ribonucleoprotein A1 pseudogene 9			so:0000336	ncbitaxon:9606
39128	HNRNPA1P10	heterogeneous nuclear ribonucleoprotein A1 pseudogene 10			so:0000336	ncbitaxon:9606
39129	HNRNPA1P11	heterogeneous nuclear ribonucleoprotein A1 pseudogene 11			so:0000336	ncbitaxon:9606
3913	FRA6B	fragile site, aphidicolin type, common, fra(6)(p25.1)			so:0002349	ncbitaxon:9606
