subject_id	subject_label	predicate_id	predicate_label	object_id	mapping_justification	license	subject_source	mapping_source
goldbook:D01752	dipolar bond	rdfs:seeAlso	see also	goldbook:B00697	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01752	dipolar bond	rdfs:seeAlso	see also	goldbook:C01326	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01752	dipolar bond	rdfs:seeAlso	see also	goldbook:C01328	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01752	dipolar bond	rdfs:seeAlso	see also	goldbook:C01329	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01752	dipolar bond	rdfs:seeAlso	see also	goldbook:D01523	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01753	dipolar compounds	rdfs:seeAlso	see also	goldbook:A00121	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01753	dipolar compounds	rdfs:seeAlso	see also	goldbook:A00555	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01753	dipolar compounds	rdfs:seeAlso	see also	goldbook:A00561	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01753	dipolar compounds	rdfs:seeAlso	see also	goldbook:A00562	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01753	dipolar compounds	rdfs:seeAlso	see also	goldbook:A00565	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01753	dipolar compounds	rdfs:seeAlso	see also	goldbook:A00567	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01753	dipolar compounds	rdfs:seeAlso	see also	goldbook:B00637	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01753	dipolar compounds	rdfs:seeAlso	see also	goldbook:C00845	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01753	dipolar compounds	rdfs:seeAlso	see also	goldbook:C00847	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01753	dipolar compounds	rdfs:seeAlso	see also	goldbook:C00848	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01753	dipolar compounds	rdfs:seeAlso	see also	goldbook:D01691	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01753	dipolar compounds	rdfs:seeAlso	see also	goldbook:I02953	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01753	dipolar compounds	rdfs:seeAlso	see also	goldbook:N04148	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
