identifier	name	definition	synonyms	alts	parents	species
08127	Shewhart means chart	Shewhart control chart in which the means of measured quantity values are plotted against time. Figure 1: Shewhart means chart of the means of duplicate analyses of a quality control material, twice per day (d) over 20 days. Each point is the mean of the day’s four results (\(n = 4\)). Upper and lower warning limits (UWL and LWL) are at \(\bar{x} \pm 2s/\sqrt{n}\), where \(\bar{x}\) is the process mean, \(s\) is the standard deviation under repeatability conditions of measurement, and upper and lower action limits (UAL and LAL) are at \(\bar{x} \pm 3s/\sqrt{n}\). A simulated measurement bias of one standard deviation is applied after day 10.				
08128	Shewhart range chart	Shewhart control chart in which the ranges of measured quantity values are plotted against time.				
08129	specified requirement	Need or expectation that is stated.				
08130	standard deviation for proficiency assessment	Measure of dispersion used in the evaluation of results of proficiency testing.				
08131	standard operating procedure	Authorized, documented procedure or set of procedures with detailed instructions for specified activities.	recommended operating procedure|standard method			
08132	statistical process control	Activities focused on the use of statistical techniques to reduce variation, increase knowledge about the process, and steer the process in the desired way.	SPC			
08133	target measurement uncertainty	Measurement uncertainty specified as an upper limit and decided on the basis of the intended use of measurement results.				
08134	tolerance	Difference between upper and lower tolerance limits.	specified tolerance			
08135	tolerance interval	Interval of permissible quantity values.	specification zone			
08136	tolerance limit	Specified upper or lower bound of permissible quantity values of a property.	specification limit			
08137	total quality management	Organization-wide efforts to install a permanent climate in which an organization continuously improves its ability to deliver high-quality products and services to customers.	TQM			
08138	validation	Confirmation, through the provision of objective evidence, that the requirements for a specific intended use or application have been fulfilled.				
08139	verification	Confirmation, through the provision of objective evidence, that specified requirements have been fulfilled.				
08140	Youden plot	Graphical technique for evaluating an interlaboratory comparison when each participant has made two measurements on the same sample or one measurement on each of two different samples.Figure 1: Youden plot of the \(z\) scores of samples #9 and #10 of Round 5 of U39 of the proficiency testing program held by the RCPA Australia for the analysis of creatinine in urine by 218 laboratories. (Reproduced with permission).				
08141	activated state	In theories of unimolecular reactions an energized chemical species, often characterized by the superscript \(^{\ddagger}\), where the excitation is specific and the molecule is poised for reaction.				
08142	ambiphilic	Both nucleophilic and electrophilic.				
08143	α	1) Designation applied to the carbon to which a functional group is attached. 2) In carbohydrate nomenclature, a stereochemical designation of the configuration at the anomeric carbon. 3) Parameter in a Brønsted relation expressing the sensitivity of the rate of protonation to acidity. 4) Parameter in Leffler’s relation expressing the sensitivity of changes in Gibbs activation energy to changes in overall Gibbs energy for an elementary reaction.				
08144	bidentate	Feature of a ligand with two potential binding sites.				
08145	bifurcation	Feature on a potential-energy surface whereby a minimum-energy reaction path (MERP) emanating from a saddle point (corresponding to a transition structure) splits in two and leads to alternative products without intervening minima or secondary barriers to overcome. A bifurcation arises when the curvature of the surface in a direction perpendicular to the MERP becomes zero and then negative; it implies the existence of a lower-energy transition structure with a transition vector orthogonal to the original MERP.				
08146	bond-dissociation enthalpy	Standard molar enthalpy required to break a given bond of some specific molecular entity by homolysis.				
08147	bond enthalpy	Average value of the gas-phase bond-dissociation enthalpies (usually at a temperature of \(\pu{298 K}\)) for all bonds of the same type within the same chemical species.	mean bond energy|mean bond enthalpy			
08148	bond-stretch isomers	Two (or more) molecules with the same spin multiplicity but with different lengths for one or more bonds.				
08149	<i>β</i>, <i>β</i><sub>nuc</sub>, <i>β</i><sub>lg</sub>	Parameter in a Brønsted relation expressing the sensitivity of the rate of deprotonation to basicity.				
08150	β-elimination	Transformation of the general type \[\ce{XABY -> A=B + XY (or X + Y, or X^{+} + Y^{-})}\] where the central atoms \(\ce{A}\) and \(\ce{B}\) are commonly, but not necessarily, carbon.	1,2-elimination			
08151	Catalán solvent parameters	Quantitative measure of solvent polarity, based on the solvent’s hydrogen-bond-donor ability, hydrogen-bond-acceptor ability, polarizability, and dipolarity.				
08152	catalytic antibody	Monoclonal antibody with enzymatic activity.	abzyme			
08153	catalytic cycle	Sequence of reaction steps in the form of a loop. One step is binding of a reactant to the active catalyst (sometimes formed from a precatalyst), and another step is the release of product and regeneration of the catalyst.				
08154	cation-π interaction	Noncovalent attractive force between a positive ion (metal cation, protonated Brønsted base, etc.) and a \(\ce{\uppi\ electron}\) system.				
08155	chiral feature	Structural characteristic rendering a molecule chiral.				
08156	chiral recognition	Attraction between molecules through noncovalent interactions that exhibit complementarity only between partners with specific chirality.				
08157	coarctate	Feature of a concerted transformation in which the primary changes in bonding occur within a cyclic array of atoms but in which two nonbonding atomic orbitals on an atom interchange roles with two bonding orbitals.				
08158	condensed formula	Linear representation of the structure of a molecular entity in which bonds are omitted.				
08160	curly arrows	Symbols for depicting the flow of electrons in a chemical reaction or to generate additional resonance forms.				
08161	dendrimer	Large molecule constructed from a central core with repetitive branching and multiple functional groups at the periphery.	arborol|cascade molecule			
08163	distortion interaction model	Method for analyzing activation energy as the sum of the energies to distort the reactants into the geometries they have in transition states plus the energy of interaction between the two distorted reactants.	activation strain model			
08164	donicity	Quantitative experimental measure of the Lewis basicity of a molecule \(\ce{B}\), expressed as the negative enthalpy of the formation of the 1:1 complex \(\ce{B.SbCl5}\).	donor number DN (misnomer)			
08165	dynamic NMR	NMR spectroscopy of samples undergoing chemical reactions.				
08166	electron pushing	Method using curly arrows for showing the formal movement of an electron pair (from a lone pair or a \(\upsigma\) or \(\ce{\uppi\ bond}\)) or of an unpaired electron, in order to generate additional resonance forms or to denote a chemical reaction.				
08167	electrophilic substitution	Heterolytic reaction in which the entering group adds to a nucleophile and in which the leaving group, or electrofuge, relinquishes both electrons to its reaction partner, whereupon it becomes another potential electrophile.				
08168	NMR exchange spectroscopy	Two-dimensional NMR technique producing cross peaks corresponding to site-to site chemical exchange. The cross-peak amplitudes carry information about exchange rates.	EXSY			
08169	formal charge	Quantity (omitted if zero) attached to each atom in a Lewis structure according to \[Z_{\rm{formal}} = N_{\rm{valence}} - N_{\rm{lonepairs}} - ½N_{\rm{bonds}}\]				
08170	frustrated Lewis acid-base pair	Acid and base for which adduct formation is prevented by steric hindrance.				
08171	Gaussian orbital	Function centered on an atom of the form \(\phi(r) \propto x^{i} y^{j} z^{k} \exp (-\zeta r^{2})\), used to approximate atomic orbitals in the LCAO-MO method.				
08172	graphene	Allotrope of carbon, whose structure is a one-atom-thick planar sheet of \(\ce{sp^{2}{-}bonded}\) carbon atoms in a honeycomb (hexagonal) crystal lattice.				
08173	halogen bond	Association between a Lewis-acidic halogen atom in a molecular entity and a Lewis-basic region in another, or the same, molecular entity, which acts as an electron-pair donor, such that the balance of forces of attraction and repulsion results in net stabilization.				
08174	hapticity	Topological description for the number of contiguous atoms of a ligand that are bonded to a central metal atom.				
08175	HBA solvent	Strongly or weakly basic solvent capable of acting as a hydrogen-bond acceptor (HBA) and forming strong intermolecular solute-solvent hydrogen bonds.	hydrogen-bond acceptor solvent|protophilic solvent			
08176	HBD solvent	Solvent with a sizable permanent dipole moment that bears suitably acidic hydrogen atoms to form strong intermolecular solvent-solute hydrogen bonds.	dipolar HBD solvent|hydrogen-bond donating solvent|protic solvent			
