text	curie	name	predicate	type	provenance	source
α	goldbook:08143	α	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
bidentate	goldbook:08144	bidentate	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
bifurcation	goldbook:08145	bifurcation	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
bond-dissociation enthalpy	goldbook:08146	bond-dissociation enthalpy	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
mean bond energy	goldbook:08147	bond enthalpy	oboInOwl:hasRelatedSynonym			goldbook
mean bond enthalpy	goldbook:08147	bond enthalpy	oboInOwl:hasRelatedSynonym			goldbook
bond enthalpy	goldbook:08147	bond enthalpy	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
bond-stretch isomers	goldbook:08148	bond-stretch isomers	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
<i>β</i>, <i>β</i><sub>nuc</sub>, <i>β</i><sub>lg</sub>	goldbook:08149	<i>β</i>, <i>β</i><sub>nuc</sub>, <i>β</i><sub>lg</sub>	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
1,2-elimination	goldbook:08150	β-elimination	oboInOwl:hasRelatedSynonym			goldbook
β-elimination	goldbook:08150	β-elimination	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
Catalán solvent parameters	goldbook:08151	Catalán solvent parameters	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
abzyme	goldbook:08152	catalytic antibody	oboInOwl:hasRelatedSynonym			goldbook
catalytic antibody	goldbook:08152	catalytic antibody	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
catalytic cycle	goldbook:08153	catalytic cycle	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
cation-π interaction	goldbook:08154	cation-π interaction	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
chiral feature	goldbook:08155	chiral feature	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
chiral recognition	goldbook:08156	chiral recognition	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
coarctate	goldbook:08157	coarctate	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
condensed formula	goldbook:08158	condensed formula	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
curly arrows	goldbook:08160	curly arrows	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
arborol	goldbook:08161	dendrimer	oboInOwl:hasRelatedSynonym			goldbook
cascade molecule	goldbook:08161	dendrimer	oboInOwl:hasRelatedSynonym			goldbook
dendrimer	goldbook:08161	dendrimer	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
activation strain model	goldbook:08163	distortion interaction model	oboInOwl:hasRelatedSynonym			goldbook
distortion interaction model	goldbook:08163	distortion interaction model	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
