identifier	name	definition	synonyms	alts	parents	species
CC-SA-1.0	Creative Commons Share Alike 1.0 Generic		CC-SA-1.0		spdx.term:ListedLicense	
CC0-1.0	Creative Commons Zero v1.0 Universal		CC0-1.0		spdx.term:ListedLicense	
CDDL-1.0	Common Development and Distribution License 1.0		CDDL-1.0		spdx.term:ListedLicense	
CDDL-1.1	Common Development and Distribution License 1.1		CDDL-1.1		spdx.term:ListedLicense	
CDL-1.0	Common Documentation License 1.0		CDL-1.0		spdx.term:ListedLicense	
CDLA-Permissive-1.0	Community Data License Agreement Permissive 1.0		CDLA-Permissive-1.0		spdx.term:ListedLicense	
CDLA-Permissive-2.0	Community Data License Agreement Permissive 2.0		CDLA-Permissive-2.0		spdx.term:ListedLicense	
CDLA-Sharing-1.0	Community Data License Agreement Sharing 1.0		CDLA-Sharing-1.0		spdx.term:ListedLicense	
CECILL-1.0	CeCILL Free Software License Agreement v1.0		CECILL-1.0		spdx.term:ListedLicense	
CECILL-1.1	CeCILL Free Software License Agreement v1.1		CECILL-1.1		spdx.term:ListedLicense	
CECILL-2.0	CeCILL Free Software License Agreement v2.0		CECILL-2.0		spdx.term:ListedLicense	
CECILL-2.1	CeCILL Free Software License Agreement v2.1		CECILL-2.1		spdx.term:ListedLicense	
CECILL-B	CeCILL-B Free Software License Agreement		CECILL-B		spdx.term:ListedLicense	
CECILL-C	CeCILL-C Free Software License Agreement		CECILL-C		spdx.term:ListedLicense	
CERN-OHL-1.1	CERN Open Hardware Licence v1.1		CERN-OHL-1.1		spdx.term:ListedLicense	
CERN-OHL-1.2	CERN Open Hardware Licence v1.2		CERN-OHL-1.2		spdx.term:ListedLicense	
CERN-OHL-P-2.0	CERN Open Hardware Licence Version 2 - Permissive		CERN-OHL-P-2.0		spdx.term:ListedLicense	
CERN-OHL-S-2.0	CERN Open Hardware Licence Version 2 - Strongly Reciprocal		CERN-OHL-S-2.0		spdx.term:ListedLicense	
CERN-OHL-W-2.0	CERN Open Hardware Licence Version 2 - Weakly Reciprocal		CERN-OHL-W-2.0		spdx.term:ListedLicense	
CFITSIO	CFITSIO License		CFITSIO		spdx.term:ListedLicense	
CMU-Mach	CMU Mach License		CMU-Mach		spdx.term:ListedLicense	
CMU-Mach-nodoc	CMU    Mach - no notices-in-documentation variant		CMU-Mach-nodoc		spdx.term:ListedLicense	
CNRI-Jython	CNRI Jython License		CNRI-Jython		spdx.term:ListedLicense	
CNRI-Python	CNRI Python License		CNRI-Python		spdx.term:ListedLicense	
CNRI-Python-GPL-Compatible	CNRI Python Open Source GPL Compatible License Agreement		CNRI-Python-GPL-Compatible		spdx.term:ListedLicense	
COIL-1.0	Copyfree Open Innovation License		COIL-1.0		spdx.term:ListedLicense	
CPAL-1.0	Common Public Attribution License 1.0		CPAL-1.0		spdx.term:ListedLicense	
CPL-1.0	Common Public License 1.0		CPL-1.0		spdx.term:ListedLicense	
CPOL-1.02	Code Project Open License 1.02		CPOL-1.02		spdx.term:ListedLicense	
CUA-OPL-1.0	CUA Office Public License v1.0		CUA-OPL-1.0		spdx.term:ListedLicense	
Caldera	Caldera License		Caldera		spdx.term:ListedLicense	
Caldera-no-preamble	Caldera License (without preamble)		Caldera-no-preamble		spdx.term:ListedLicense	
Catharon	Catharon License		Catharon		spdx.term:ListedLicense	
ClArtistic	Clarified Artistic License		ClArtistic		spdx.term:ListedLicense	
Clips	Clips License		Clips		spdx.term:ListedLicense	
Community-Spec-1.0	Community Specification License 1.0		Community-Spec-1.0		spdx.term:ListedLicense	
Condor-1.1	Condor Public License v1.1		Condor-1.1		spdx.term:ListedLicense	
Cornell-Lossless-JPEG	Cornell Lossless JPEG License		Cornell-Lossless-JPEG		spdx.term:ListedLicense	
Cronyx	Cronyx License		Cronyx		spdx.term:ListedLicense	
Crossword	Crossword License		Crossword		spdx.term:ListedLicense	
CryptoSwift	CryptoSwift License		CryptoSwift		spdx.term:ListedLicense	
CrystalStacker	CrystalStacker License		CrystalStacker		spdx.term:ListedLicense	
Cube	Cube License		Cube		spdx.term:ListedLicense	
D-FSL-1.0	Deutsche Freie Software Lizenz		D-FSL-1.0		spdx.term:ListedLicense	
DEC-3-Clause	DEC 3-Clause License		DEC-3-Clause		spdx.term:ListedLicense	
DL-DE-BY-2.0	Data licence Germany – attribution – version 2.0		DL-DE-BY-2.0		spdx.term:ListedLicense	
DL-DE-ZERO-2.0	Data licence Germany – zero – version 2.0		DL-DE-ZERO-2.0		spdx.term:ListedLicense	
DOC	DOC License		DOC		spdx.term:ListedLicense	
DRL-1.0	Detection Rule License 1.0		DRL-1.0		spdx.term:ListedLicense	
DRL-1.1	Detection Rule License 1.1		DRL-1.1		spdx.term:ListedLicense	
DSDP	DSDP License		DSDP		spdx.term:ListedLicense	
DocBook-DTD	DocBook DTD License		DocBook-DTD		spdx.term:ListedLicense	
DocBook-Schema	DocBook Schema License		DocBook-Schema		spdx.term:ListedLicense	
DocBook-Stylesheet	DocBook Stylesheet License		DocBook-Stylesheet		spdx.term:ListedLicense	
DocBook-XML	DocBook XML License		DocBook-XML		spdx.term:ListedLicense	
Dotseqn	Dotseqn License		Dotseqn		spdx.term:ListedLicense	
ECL-1.0	Educational Community License v1.0		ECL-1.0		spdx.term:ListedLicense	
ECL-2.0	Educational Community License v2.0		ECL-2.0		spdx.term:ListedLicense	
EFL-1.0	Eiffel Forum License v1.0		EFL-1.0		spdx.term:ListedLicense	
EFL-2.0	Eiffel Forum License v2.0		EFL-2.0		spdx.term:ListedLicense	
EPICS	EPICS Open License		EPICS		spdx.term:ListedLicense	
EPL-1.0	Eclipse Public License 1.0		EPL-1.0		spdx.term:ListedLicense	
EPL-2.0	Eclipse Public License 2.0		EPL-2.0		spdx.term:ListedLicense	
ESA-PL-permissive-2.4	European Space Agency Public License – v2.4 – Permissive (Type 3)		ESA-PL-permissive-2.4		spdx.term:ListedLicense	
ESA-PL-weak-copyleft-2.4	European Space Agency Public License – v2.4 – Weak Copyleft (Type 2)		ESA-PL-weak-copyleft-2.4		spdx.term:ListedLicense	
EUDatagrid	EU DataGrid Software License		EUDatagrid		spdx.term:ListedLicense	
EUPL-1.0	European Union Public License 1.0		EUPL-1.0		spdx.term:ListedLicense	
EUPL-1.1	European Union Public License 1.1		EUPL-1.1		spdx.term:ListedLicense	
EUPL-1.2	European Union Public License 1.2		EUPL-1.2		spdx.term:ListedLicense	
Elastic-2.0	Elastic License 2.0		Elastic-2.0		spdx.term:ListedLicense	
Entessa	Entessa Public License v1.0		Entessa		spdx.term:ListedLicense	
ErlPL-1.1	Erlang Public License v1.1		ErlPL-1.1		spdx.term:ListedLicense	
Eurosym	Eurosym License		Eurosym		spdx.term:ListedLicense	
FBM	Fuzzy Bitmap License		FBM		spdx.term:ListedLicense	
FDK-AAC	Fraunhofer FDK AAC Codec Library		FDK-AAC		spdx.term:ListedLicense	
FSFAP	FSF All Permissive License		FSFAP		spdx.term:ListedLicense	
FSFAP-no-warranty-disclaimer	FSF All Permissive License (without Warranty)		FSFAP-no-warranty-disclaimer		spdx.term:ListedLicense	
FSFUL	FSF Unlimited License		FSFUL		spdx.term:ListedLicense	
FSFULLR	FSF Unlimited License (with License Retention)		FSFULLR		spdx.term:ListedLicense	
FSFULLRSD	FSF Unlimited License (with License Retention and Short Disclaimer)		FSFULLRSD		spdx.term:ListedLicense	
FSFULLRWD	FSF Unlimited License (With License Retention and Warranty Disclaimer)		FSFULLRWD		spdx.term:ListedLicense	
FSL-1.1-ALv2	Functional Source License, Version 1.1, ALv2 Future License		FSL-1.1-ALv2		spdx.term:ListedLicense	
FSL-1.1-MIT	Functional Source License, Version 1.1, MIT Future License		FSL-1.1-MIT		spdx.term:ListedLicense	
FTL	Freetype Project License		FTL		spdx.term:ListedLicense	
Fair	Fair License		Fair		spdx.term:ListedLicense	
Ferguson-Twofish	Ferguson Twofish License		Ferguson-Twofish		spdx.term:ListedLicense	
Frameworx-1.0	Frameworx Open License 1.0		Frameworx-1.0		spdx.term:ListedLicense	
FreeBSD-DOC	FreeBSD Documentation License		FreeBSD-DOC		spdx.term:ListedLicense	
FreeImage	FreeImage Public License v1.0		FreeImage		spdx.term:ListedLicense	
Furuseth	Furuseth License		Furuseth		spdx.term:ListedLicense	
GCR-docs	Gnome GCR Documentation License		GCR-docs		spdx.term:ListedLicense	
GD	GD License		GD		spdx.term:ListedLicense	
GFDL-1.1	GNU Free Documentation License v1.1		GFDL-1.1		spdx.term:ListedLicense	
GFDL-1.1-invariants-only	GNU Free Documentation License v1.1 only - invariants		GFDL-1.1-invariants-only		spdx.term:ListedLicense	
GFDL-1.1-invariants-or-later	GNU Free Documentation License v1.1 or later - invariants		GFDL-1.1-invariants-or-later		spdx.term:ListedLicense	
GFDL-1.1-no-invariants-only	GNU Free Documentation License v1.1 only - no invariants		GFDL-1.1-no-invariants-only		spdx.term:ListedLicense	
GFDL-1.1-no-invariants-or-later	GNU Free Documentation License v1.1 or later - no invariants		GFDL-1.1-no-invariants-or-later		spdx.term:ListedLicense	
GFDL-1.1-only	GNU Free Documentation License v1.1 only		GFDL-1.1-only		spdx.term:ListedLicense	
GFDL-1.1-or-later	GNU Free Documentation License v1.1 or later		GFDL-1.1-or-later		spdx.term:ListedLicense	
GFDL-1.2	GNU Free Documentation License v1.2		GFDL-1.2		spdx.term:ListedLicense	
GFDL-1.2-invariants-only	GNU Free Documentation License v1.2 only - invariants		GFDL-1.2-invariants-only		spdx.term:ListedLicense	
GFDL-1.2-invariants-or-later	GNU Free Documentation License v1.2 or later - invariants		GFDL-1.2-invariants-or-later		spdx.term:ListedLicense	
GFDL-1.2-no-invariants-only	GNU Free Documentation License v1.2 only - no invariants		GFDL-1.2-no-invariants-only		spdx.term:ListedLicense	
