text	curie	name	predicate	source
PNH - Paroxysmal nocturnal hemoglobinuria	pharmgkb.disease:PA166122772	Paroxysmal nocturnal hemoglobinuria	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Paroxysmal nocturnal haemoglobinuria	pharmgkb.disease:PA166122772	Paroxysmal nocturnal hemoglobinuria	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Paroxysmal nocturnal hemoglobinuria (disorder)	pharmgkb.disease:PA166122772	Paroxysmal nocturnal hemoglobinuria	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Paroxysmal nocturnal hemoglobinuria	pharmgkb.disease:PA166122772	Paroxysmal nocturnal hemoglobinuria	rdfs:label	pharmgkb.disease
Interstitial fibrosis	pharmgkb.disease:PA166123006	Renal interstitial fibrosis	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Interstitial fibrosis (morphologic abnormality)	pharmgkb.disease:PA166123006	Renal interstitial fibrosis	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Renal interstitial fibrosis	pharmgkb.disease:PA166123006	Renal interstitial fibrosis	rdfs:label	pharmgkb.disease
Hematopoietic	pharmgkb.disease:PA166123007	Hematopoietic stem cell transplantation	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Hematopoietic Stem Cell	pharmgkb.disease:PA166123007	Hematopoietic stem cell transplantation	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Stem Cell Transplantation	pharmgkb.disease:PA166123007	Hematopoietic stem cell transplantation	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Transplantation	pharmgkb.disease:PA166123007	Hematopoietic stem cell transplantation	oboInOwl:hasRelatedSynonym	pharmgkb.disease
hemopoietic stem cell transplant	pharmgkb.disease:PA166123007	Hematopoietic stem cell transplantation	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Hematopoietic stem cell transplantation	pharmgkb.disease:PA166123007	Hematopoietic stem cell transplantation	rdfs:label	pharmgkb.disease
Progression-free survival	pharmgkb.disease:PA166123026	Progression-free survival	rdfs:label	pharmgkb.disease
Giving up smoking	pharmgkb.disease:PA166123046	Smoking Cessation	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Quitting smoking	pharmgkb.disease:PA166123046	Smoking Cessation	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Stopping smoking	pharmgkb.disease:PA166123046	Smoking Cessation	oboInOwl:hasRelatedSynonym	pharmgkb.disease
continuously abstinent of nicotine	pharmgkb.disease:PA166123046	Smoking Cessation	oboInOwl:hasRelatedSynonym	pharmgkb.disease
nicotine abstinence	pharmgkb.disease:PA166123046	Smoking Cessation	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Smoking Cessation	pharmgkb.disease:PA166123046	Smoking Cessation	rdfs:label	pharmgkb.disease
intragastric ph	pharmgkb.disease:PA166123203	Gastric pH	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Gastric pH	pharmgkb.disease:PA166123203	Gastric pH	rdfs:label	pharmgkb.disease
overall survival	pharmgkb.disease:PA166123207	overall survival	rdfs:label	pharmgkb.disease
malaise	pharmgkb.disease:PA166123209	malaise	rdfs:label	pharmgkb.disease
over-anticoagulation	pharmgkb.disease:PA166123298	over-anticoagulation	rdfs:label	pharmgkb.disease
Agitation	pharmgkb.disease:PA166123306	Agitation	rdfs:label	pharmgkb.disease
Disorders of initiating and maintaining sleep	pharmgkb.disease:PA166123307	Insomnia	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Insomnia Disorders	pharmgkb.disease:PA166123307	Insomnia	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Sleep Initiation Dysfunction	pharmgkb.disease:PA166123307	Insomnia	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Sleep initiation and maintenance disorder	pharmgkb.disease:PA166123307	Insomnia	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Insomnia	pharmgkb.disease:PA166123307	Insomnia	rdfs:label	pharmgkb.disease
Loeys Dietz Aortic Aneurysm Syndrome	pharmgkb.disease:PA166123310	Loeys-Dietz syndrome	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Loeys Dietz Syndrome	pharmgkb.disease:PA166123310	Loeys-Dietz syndrome	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Loeys-Dietz	pharmgkb.disease:PA166123310	Loeys-Dietz syndrome	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Loeys-Dietz Aortic Aneurysm Syndrome	pharmgkb.disease:PA166123310	Loeys-Dietz syndrome	oboInOwl:hasRelatedSynonym	pharmgkb.disease
