text	curie	name	predicate	source
CERN Open Hardware Licence Version 2 - Weakly Reciprocal	spdx:CERN-OHL-W-2.0	CERN Open Hardware Licence Version 2 - Weakly Reciprocal	rdfs:label	spdx
CFITSIO License	spdx:CFITSIO	CFITSIO License	rdfs:label	spdx
CMU Mach License	spdx:CMU-Mach	CMU Mach License	rdfs:label	spdx
CMU    Mach - no notices-in-documentation variant	spdx:CMU-Mach-nodoc	CMU    Mach - no notices-in-documentation variant	rdfs:label	spdx
CNRI Jython License	spdx:CNRI-Jython	CNRI Jython License	rdfs:label	spdx
CNRI Python License	spdx:CNRI-Python	CNRI Python License	rdfs:label	spdx
CNRI Python Open Source GPL Compatible License Agreement	spdx:CNRI-Python-GPL-Compatible	CNRI Python Open Source GPL Compatible License Agreement	rdfs:label	spdx
Copyfree Open Innovation License	spdx:COIL-1.0	Copyfree Open Innovation License	rdfs:label	spdx
Common Public Attribution License 1.0	spdx:CPAL-1.0	Common Public Attribution License 1.0	rdfs:label	spdx
Common Public License 1.0	spdx:CPL-1.0	Common Public License 1.0	rdfs:label	spdx
Code Project Open License 1.02	spdx:CPOL-1.02	Code Project Open License 1.02	rdfs:label	spdx
CUA Office Public License v1.0	spdx:CUA-OPL-1.0	CUA Office Public License v1.0	rdfs:label	spdx
Caldera License	spdx:Caldera	Caldera License	rdfs:label	spdx
Caldera License (without preamble)	spdx:Caldera-no-preamble	Caldera License (without preamble)	rdfs:label	spdx
Catharon License	spdx:Catharon	Catharon License	rdfs:label	spdx
Clarified Artistic License	spdx:ClArtistic	Clarified Artistic License	rdfs:label	spdx
Clips License	spdx:Clips	Clips License	rdfs:label	spdx
Community Specification License 1.0	spdx:Community-Spec-1.0	Community Specification License 1.0	rdfs:label	spdx
Condor Public License v1.1	spdx:Condor-1.1	Condor Public License v1.1	rdfs:label	spdx
Cornell Lossless JPEG License	spdx:Cornell-Lossless-JPEG	Cornell Lossless JPEG License	rdfs:label	spdx
Cronyx License	spdx:Cronyx	Cronyx License	rdfs:label	spdx
Crossword License	spdx:Crossword	Crossword License	rdfs:label	spdx
CryptoSwift License	spdx:CryptoSwift	CryptoSwift License	rdfs:label	spdx
CrystalStacker License	spdx:CrystalStacker	CrystalStacker License	rdfs:label	spdx
Cube License	spdx:Cube	Cube License	rdfs:label	spdx
Deutsche Freie Software Lizenz	spdx:D-FSL-1.0	Deutsche Freie Software Lizenz	rdfs:label	spdx
DEC 3-Clause License	spdx:DEC-3-Clause	DEC 3-Clause License	rdfs:label	spdx
Data licence Germany – attribution – version 2.0	spdx:DL-DE-BY-2.0	Data licence Germany – attribution – version 2.0	rdfs:label	spdx
Data licence Germany – zero – version 2.0	spdx:DL-DE-ZERO-2.0	Data licence Germany – zero – version 2.0	rdfs:label	spdx
