text	curie	name	predicate	source
2-methylisocitrate dehydratase	ec:4.2.1.99	2-methylisocitrate dehydratase	rdfs:label	ec
Acting on polysaccharides	ec:4.2.2	Acting on polysaccharides	rdfs:label	ec
hyaluronidase	ec:4.2.2.1	hyaluronate lyase	oboInOwl:hasRelatedSynonym	ec
mucinase	ec:4.2.2.1	hyaluronate lyase	oboInOwl:hasRelatedSynonym	ec
spreading factor	ec:4.2.2.1	hyaluronate lyase	oboInOwl:hasRelatedSynonym	ec
hyaluronate lyase	ec:4.2.2.1	hyaluronate lyase	rdfs:label	ec
endo-pectin lyase	ec:4.2.2.10	pectin lyase	oboInOwl:hasRelatedSynonym	ec
pectin methyltranseliminase	ec:4.2.2.10	pectin lyase	oboInOwl:hasRelatedSynonym	ec
pectin trans-eliminase	ec:4.2.2.10	pectin lyase	oboInOwl:hasRelatedSynonym	ec
pectolyase	ec:4.2.2.10	pectin lyase	oboInOwl:hasRelatedSynonym	ec
PL	ec:4.2.2.10	pectin lyase	oboInOwl:hasRelatedSynonym	ec
PMGL	ec:4.2.2.10	pectin lyase	oboInOwl:hasRelatedSynonym	ec
PNL	ec:4.2.2.10	pectin lyase	oboInOwl:hasRelatedSynonym	ec
polymethylgalacturonic transeliminase	ec:4.2.2.10	pectin lyase	oboInOwl:hasRelatedSynonym	ec
pectin lyase	ec:4.2.2.10	pectin lyase	rdfs:label	ec
alginase II	ec:4.2.2.11	guluronate-specific alginate lyase	oboInOwl:hasRelatedSynonym	ec
poly(alpha-L-guluronate) lyase	ec:4.2.2.11	guluronate-specific alginate lyase	oboInOwl:hasRelatedSynonym	ec
guluronate-specific alginate lyase	ec:4.2.2.11	guluronate-specific alginate lyase	rdfs:label	ec
xanthan lyase	ec:4.2.2.12	xanthan lyase	rdfs:label	ec
alpha-1,4-glucan 1,5-anhydro-D-fructose eliminase	ec:4.2.2.13	exo-(1->4)-alpha-D-glucan lyase	oboInOwl:hasRelatedSynonym	ec
alpha-1,4-glucan exo-lyase	ec:4.2.2.13	exo-(1->4)-alpha-D-glucan lyase	oboInOwl:hasRelatedSynonym	ec
alpha-1,4-glucan lyase	ec:4.2.2.13	exo-(1->4)-alpha-D-glucan lyase	oboInOwl:hasRelatedSynonym	ec
exo-(1,4)-alpha-D-glucan lyase	ec:4.2.2.13	exo-(1->4)-alpha-D-glucan lyase	oboInOwl:hasRelatedSynonym	ec
exo-alpha-1,4-glucan lyase	ec:4.2.2.13	exo-(1->4)-alpha-D-glucan lyase	oboInOwl:hasRelatedSynonym	ec
